edad,tipo_empresa,peso_final,max_nivel_educ,agnos_educacion,estado_civil,ocupacion,relacion_jhogar,ciudadania,sexo,ganancia_cap,perdida_cap,hrs_sem,comuna,net60mn
39,serv publico nacional,77516,universitaria,13,nunca casado-a,administrativo,sin familia,chileno,hombre,2174,0,40,Vitacura,0
50,emprendedor,83311,universitaria,13,casado-a,ejecutivo gerencial,esposo,chileno,hombre,0,0,13,Vitacura,0
38,empresa privada,215646,educ media completa,9,divorciado-a,reponedor-aseador,sin familia,chileno,hombre,0,0,40,Vitacura,0
53,empresa privada,234721,3roMedio,7,casado-a,reponedor-aseador,esposo,pueblo originario,hombre,0,0,40,Vitacura,0
28,empresa privada,338409,universitaria,13,casado-a,profesional c-especialidad,esposa,pueblo originario,mujer,0,0,40,Los Angeles,0
37,empresa privada,284582,magister,14,casado-a,ejecutivo gerencial,esposa,chileno,mujer,0,0,40,Vitacura,0
49,empresa privada,160187,1roMedio,5,casado-pareja-ausente,otros servicios,sin familia,pueblo originario,mujer,0,0,16,Arauco,0
52,emprendedor,209642,educ media completa,9,casado-a,ejecutivo gerencial,esposo,chileno,hombre,0,0,45,Vitacura,1
31,empresa privada,45781,magister,14,nunca casado-a,profesional c-especialidad,sin familia,chileno,mujer,14084,0,50,Vitacura,1
42,empresa privada,159449,universitaria,13,casado-a,ejecutivo gerencial,esposo,chileno,hombre,5178,0,40,Vitacura,1
37,empresa privada,280464,univ incompleta,10,casado-a,ejecutivo gerencial,esposo,pueblo originario,hombre,0,0,80,Vitacura,1
30,serv publico nacional,141297,universitaria,13,casado-a,profesional c-especialidad,esposo,extranjero,hombre,0,0,40,Talca,1
23,empresa privada,122272,universitaria,13,nunca casado-a,administrativo,hijo-a,chileno,mujer,0,0,30,Vitacura,0
32,empresa privada,205019,bachiller univ,12,nunca casado-a,ventas,sin familia,pueblo originario,hombre,0,0,50,Vitacura,0
40,empresa privada,121772,tecnico no-univ,11,casado-a,mantenedor-reparador,esposo,extranjero,hombre,0,0,40,?,1
34,empresa privada,245487,8voBasico,4,casado-a,chofer-mudanza,esposo,isleno,hombre,0,0,45,Machali,0
25,emprendedor,176756,educ media completa,9,nunca casado-a,agricultor-pescador,hijo-a,chileno,hombre,0,0,35,Vitacura,0
32,empresa privada,186824,educ media completa,9,nunca casado-a,operador maquinaria-inspector,soltero,chileno,hombre,0,0,40,Vitacura,0
38,empresa privada,28887,3roMedio,7,casado-a,ventas,esposo,chileno,hombre,0,0,50,Vitacura,0
43,emprendedor,292175,magister,14,divorciado-a,ejecutivo gerencial,soltero,chileno,mujer,0,0,45,Vitacura,1
40,empresa privada,193524,doctorado,16,casado-a,profesional c-especialidad,esposo,chileno,hombre,0,0,60,Vitacura,1
54,empresa privada,302146,educ media completa,9,separado-a,otros servicios,soltero,pueblo originario,mujer,0,0,20,Vitacura,0
